id,question,reference_answer,expected_chunk_ids,expected_document_ids,expected_document_version_ids,expected_keywords,expects_abstention,category,status
eval-011,"Selon «DOC17_CoreNetwork_Gestion_Abonnes», que précise le corpus sur le point suivant : Procédure de gestion des abonnés et routage du trafic mobile + Objectif + Décrire la procédure de gestion des profils ab ?","Procédure de gestion des abonnés et routage du trafic mobile + Objectif + Décrire la procédure de gestion des profils abonnés et de routage du trafic voix et données au sein du c┼ôur de réseau (EPC). + Champ d'application + Cette procédure couvre l'activation, la modification et la suspension des profils abonnés, ainsi que le routage du trafic entre les sites radio et les passerelles de données. + Procédures + Activation d'un nouvel abonné : création du profil dans le registre des abonnés après validation commerciale. + Modification de profil (changement d'offre) : mise à jour dans le registre, effective sous 24 heures. + Suspension pour impayé ou fraude suspectée : blocage du profil sur demande de la Direction Commerciale et Business ou de la Direction Cybersécurité Télécom. + Routage du trafic données : or",[35],[8],[8],"[""Procédure"", ""gestion"", ""abonnés"", ""routage"", ""trafic"", ""mobile"", ""Objectif"", ""Décrire""]",False,factual,candidate_review
eval-012,"Selon «DOC35_Marketing_Rapport_FTTH_T4_2025», que précise le corpus sur le point suivant : Rapport trimestriel Marketing ÔÇö Performance des offres FTTH à Kinshasa (T4 2025) + Objectif + Présenter la performance ?","Rapport trimestriel Marketing ÔÇö Performance des offres FTTH à Kinshasa (T4 2025) + Objectif + Présenter la performance commerciale des offres FTTH résidentielles à Kinshasa sur le quatrième trimestre 2025, en appui à l'objectif de doublement des abonnés FTTH d'ici fin 2027 fixé par la Direction Commerciale et Business. + Contexte + Le pilote FTTH de Kinshasa, lancé dans les communes de la Gombe et de Limete, a bénéficié d'une campagne de notoriété au troisième trimestre 2025, dont les effets sont mesurés sur le trimestre suivant. + Description + Base d'abonnés FTTH à Kinshasa au 31 décembre 2025 : 18 500 foyers, en incluant les souscriptions validées commercialement au cours du trimestre. + Croissance trimestrielle de la base FTTH : progression continue depuis le lancement de la campagne de notoriété du",[174],[37],[37],"[""Rapport"", ""trimestriel"", ""Marketing"", ""Performance"", ""offres"", ""Kinshasa"", ""Objectif"", ""Présenter""]",False,factual,candidate_review
eval-013,"Selon «DOC30_Note_Service_Habilitation_Acces (1)», que précise le corpus sur le point suivant : Note de service ÔÇö Nouvelle procédure d'habilitation d'accès aux données abonnés + Objectif + Informer l'ensemble du pe ?","Note de service ÔÇö Nouvelle procédure d'habilitation d'accès aux données abonnés + Objectif + Informer l'ensemble du personnel habilité de la nouvelle fréquence de revue des accès aux systèmes contenant des données abonnés, entrée en vigueur avec la version 2.0 de la politique de protection des données des abonnés (BOMOKO-DCT-004). + Description + ├Ç compter du 15 mars 2026, la revue des habilitations d'accès aux systèmes contenant des données abonnés passe d'une fréquence trimestrielle à une fréquence mensuelle, conformément à la version 2.0 de la politique de protection des données des abonnés publiée par la Direction Cybersécurité Télécom. + Tout collaborateur disposant d'un accès à ces systèmes sera sollicité chaque mois par son responsable hiérarchique pour confirmer la nécessité du maintien de s",[231],[50],[50],"[""service"", ""Nouvelle"", ""procédure"", ""habilitation"", ""accès"", ""données"", ""abonnés"", ""Objectif""]",False,factual,candidate_review
eval-014,"Selon «Commercial Acquisition Abonnés», que précise le corpus sur le point suivant : Stratégie commerciale d'acquisition d'abonnés aux offres 4G/5G + Objectif + Décrire la stratégie commerciale visant à ac ?","Stratégie commerciale d'acquisition d'abonnés aux offres 4G/5G + Objectif + Décrire la stratégie commerciale visant à accro├«tre la part des abonnés utilisant des offres de données mobiles 4G/5G, conformément à l'objectif de 65 % de la base totale d'ici fin 2028 fixé par le rapport stratégique de la Direction Générale. + Contexte + Fin 2025, la part des abonnés sur offres 4G/5G data s'établit à 48 % de la base totale de 9,5 millions d'abonnés.",[1],[1],[1],"[""Stratégie"", ""commerciale"", ""acquisition"", ""abonnés"", ""offres"", ""Objectif"", ""Décrire"", ""stratégie""]",False,factual,candidate_review
eval-015,"Selon «DOC05_CoreNetwork_VoLTE_5GCore», que précise le corpus sur le point suivant : tion se déroule en trois volets parallèles : (1) l'extension de la couverture IMS/VoLTE aux sites déjà migrés en 4G, (2) ?","tion se déroule en trois volets parallèles : (1) l'extension de la couverture IMS/VoLTE aux sites déjà migrés en 4G, (2) la préparation du 5G Core en mode non-standalone pour accompagner le pilote gNodeB de Kinshasa, (3) la planification de la bascule ultérieure vers un 5G Core standalone une fois la couverture 5G suffisamment étendue. + Données techniques + Couverture VoLTE actuelle : Kinshasa et Lubumbashi activées ; Goma et Bukavu prévues au deuxième trimestre 2026. + Mode 5G Core actuel : non-standalone (NSA), ancré sur l'EPC 4G. + Objectif de bascule 5G Core standalone (SA) : fin 2028, alignée sur l'objectif du rapport stratégique 2026-2028. + Fonctions réseau ciblées pour virtualisation : gestion de sessions, fonction d'ancrage de mobilité, passerelle de données. + Responsabilités + La Direction C",[32],[7],[7],"[""déroule"", ""trois"", ""volets"", ""parallèles"", ""extension"", ""couverture"", ""VoLTE"", ""sites""]",False,factual,candidate_review
eval-016,"Selon «DOC43_Audit_Securite_Externe_NzuriCyberAudit (1)», que précise le corpus sur le point suivant : NZURI CYBERAUDIT + Cabinet indépendant d'audit de sécurité des systèmes d'information + Rapport d'audit de sécurité exte ?","NZURI CYBERAUDIT + Cabinet indépendant d'audit de sécurité des systèmes d'information + Rapport d'audit de sécurité externe + Réseau c┼ôur et infrastructures 5G ÔÇö Bomoko Telecom S.A. + Référence : NZURI-AUD-2026-014 ÔÇö Commanditaire : Direction Cybersécurité Télécom + Client audité + Bomoko Telecom S.A. + Périmètre de l'audit + Réseau c┼ôur (EPC, 5G Core NSA), passerelles d'interconnexion + internationale, politique de protection des données des abonnés + (BOMOKO-DCT-004 v2.0) + Période d'audit + 3 au 21 mai 2026 + Date du rapport + 29 mai 2026 + Classification (usage interne + Bomoko Telecom) + SECRET + Résumé exécutif + Nzuri CyberAudit a mené un audit de sécurité externe du réseau c┼ôur et des infrastructures 5G de + Bomoko Telecom S.A., à la demande de la Direction Cybersécurité Télécom, dans le cadre du suivi du + Projet",[53],[12],[12],"[""NZURI"", ""CYBERAUDIT"", ""Cabinet"", ""indépendant"", ""audit"", ""sécurité"", ""systèmes"", ""information""]",False,factual,candidate_review
eval-017,"Selon «Politique_Cybersecurite_Telecom_TelcoAI», que précise le corpus sur le point suivant : Indicateurs ou données pertinentes + Nombre d'incidents de sécurité détectés et traités par trimestre, par catégorie (ac ?","Indicateurs ou données pertinentes + Nombre d'incidents de sécurité détectés et traités par trimestre, par catégorie (accès non autorisé, DDoS, anomalie applicative). + Temps moyen de détection d'un incident de sécurité. + Temps moyen de résolution d'un incident de sécurité, par niveau de gravité. + Taux de complétion des revues d'accès périodiques aux systèmes critiques. + Taux de participation aux sessions annuelles de sensibilisation à la cybersécurité. + 8.",[64],[13],[13],"[""Indicateurs"", ""données"", ""pertinentes"", ""Nombre"", ""incidents"", ""sécurité"", ""détectés"", ""traités""]",False,factual,candidate_review
eval-018,"Selon «Strategie_Marketing_Lancement_5G_TelcoAI», que précise le corpus sur le point suivant : Indicateurs ou données pertinentes + Taux de notoriété assistée de l'offre TelcoAI 5G PREMIUM dans les zones ciblées (ob ?","Indicateurs ou données pertinentes + Taux de notoriété assistée de l'offre TelcoAI 5G PREMIUM dans les zones ciblées (objectif : 60 % à J+30). + Nombre d'activations TelcoAI 5G PREMIUM à J+30 (objectif : 15 000 lignes). + Taux de conversion des abonnés TelcoAI 4G MAX contactés par SMS ciblé. + Engagement sur les réseaux sociaux (portée, interactions, mentions de marque). + Retombées presse et couverture médiatique du lancement. + 8.",[186],[39],[39],"[""Indicateurs"", ""données"", ""pertinentes"", ""notoriété"", ""assistée"", ""offre"", ""TelcoAI"", ""PREMIUM""]",False,factual,candidate_review
eval-019,"Selon «DOC02_Architecture_Reseau», que précise le corpus sur le point suivant : Présentation de l'Architecture du Réseau Bomoko Telecom + Objectif + Présenter l'architecture générale du réseau de Bomo ?","Présentation de l'Architecture du Réseau Bomoko Telecom + Objectif + Présenter l'architecture générale du réseau de Bomoko Telecom, de l'utilisateur final jusqu'aux services, comme document de référence technique pour les équipes internes. + Contexte + Le réseau de Bomoko Telecom repose sur une cha├«ne classique d'opérateur mobile et fixe : accès radio, transmission/backhaul, c┼ôur de réseau, puis services, complétée par une infrastructure fibre optique dédiée au transport et, en zone urbaine pilote, à l'accès fixe (FTTH). + Champ d'application + Ce document couvre l'ensemble des couches réseau : RAN 2G/3G/4G/5G, transmission (fibre et faisceaux hertziens), c┼ôur de réseau (EPC et 5G Core), IMS, et supervision (NOC). + Description générale ÔÇö schéma de flux + Utilisateurs (abonnés mobiles / fixes / entreprise",[261],[55],[55],"[""Présentation"", ""Architecture"", ""Réseau"", ""Bomoko"", ""Telecom"", ""Objectif"", ""Présenter"", ""architecture""]",False,factual,candidate_review
eval-020,"Selon «DOC09_Cybersecurite_Projet_Bouclier», que précise le corpus sur le point suivant : Politique de protection contre les attaques par déni de service distribué (DDoS) ÔÇö Projet Bouclier + Objectif + Défini ?","Politique de protection contre les attaques par déni de service distribué (DDoS) ÔÇö Projet Bouclier + Objectif + Définir la politique de protection du réseau c┼ôur et des infrastructures 5G de Bomoko Telecom contre les attaques par déni de service distribué (DDoS), dans le cadre du Projet Bouclier. + Contexte + L'extension du réseau 5G et la virtualisation progressive des fonctions du c┼ôur de réseau (Projet C┼ôur Nouvelle Génération) augmentent la surface d'exposition aux attaques réseau.",[38],[9],[9],"[""Politique"", ""protection"", ""contre"", ""attaques"", ""service"", ""distribué"", ""Projet"", ""Bouclier""]",False,factual,candidate_review
eval-021,"Selon «DOC15_DG_Positionnement_Concurrentiel», que précise le corpus sur le point suivant : cts. + Atout secondaire : programme actif de réduction des zones blanches (Projet Zéro Zone Blanche), renforçant la prés ?","cts. + Atout secondaire : programme actif de réduction des zones blanches (Projet Zéro Zone Blanche), renforçant la présence en zone périurbaine et rurale. + Point de vigilance : part de marché sur l'internet fixe et la fibre résidentielle encore limitée face à des offres concurrentes plus anciennes sur ce segment. + Recommandations + Consolider l'avance sur la 5G en accélérant l'extension à Lubumbashi et Goma, tout en renforçant l'offre FTTH résidentielle à Kinshasa pour rattraper le retard relatif sur le segment fixe. + Conclusion + La position de Bomoko Telecom reste favorable sur la couverture mobile et la 5G, avec un axe de progression prioritaire sur l'internet fixe et la fibre résidentielle.",[99],[18],[18],"[""Atout"", ""secondaire"", ""programme"", ""actif"", ""réduction"", ""zones"", ""blanches"", ""Projet""]",False,factual,candidate_review
eval-022,"Selon «DOC07_NOC_Gestion_Incidents», que précise le corpus sur le point suivant : Chaque direction technique reste responsable de la résolution dans son périmètre. + Risques + Risque de sous-qualificati ?","Chaque direction technique reste responsable de la résolution dans son périmètre. + Risques + Risque de sous-qualification d'un incident, retardant l'escalade vers la direction compétente. + Risque de saturation du NOC lors d'incidents multiples simultanés (par exemple lors d'un événement climatique affectant plusieurs sites). + Recommandations + Maintenir à jour la matrice d'escalade par type d'incident et réviser les seuils de gravité à mesure que la part du trafic 5G augmente. + Conclusion + Cette procédure constitue le soc",[191],[40],[40],"[""Chaque"", ""direction"", ""technique"", ""reste"", ""responsable"", ""résolution"", ""périmètre"", ""Risques""]",False,factual,candidate_review
eval-023,"Selon «DOC06_Transmission_Maintenance_Fibre», que précise le corpus sur le point suivant : Procédure de maintenance du backbone fibre optique + Objectif + Décrire la procédure de maintenance préventive et correc ?","Procédure de maintenance du backbone fibre optique + Objectif + Décrire la procédure de maintenance préventive et corrective du backbone fibre optique national de Bomoko Telecom, afin de garantir la disponibilité des liaisons de transmission entre les sites radio, le c┼ôur de réseau et les points de présence internationaux. + Contexte + Le backbone fibre relie actuellement Kinshasa, Lubumbashi, Goma, Bukavu et Matadi, avec une extension en cours vers Kisangani et Mbuji-Mayi dans le cadre du Projet Fibre Nationale.",[284],[61],[61],"[""Procédure"", ""maintenance"", ""backbone"", ""fibre"", ""optique"", ""Objectif"", ""Décrire"", ""procédure""]",False,factual,candidate_review
eval-024,"Selon «DOC18_Transmission_Rapport_Disponibilite_T4_2025», que précise le corpus sur le point suivant : Rapport de disponibilité des liaisons de transmission ÔÇö T4 2025 + Objectif + Présenter le bilan de disponibilité des l ?","Rapport de disponibilité des liaisons de transmission ÔÇö T4 2025 + Objectif + Présenter le bilan de disponibilité des liaisons de transmission (fibre optique et faisceaux hertziens) pour le quatrième trimestre 2025. + Données techniques + Disponibilité moyenne du backbone fibre sur le trimestre : 99,87 %, conforme à l'objectif de 99,9 % sur base annuelle. + Disponibilité moyenne des liaisons hertziennes de secours : 98,4 %, en retrait par rapport à la fibre en raison de conditions climatiques. + Nombre d'incidents de coupure fibre enregistrés : incidents localisés, majoritairement liés à des travaux de voirie non coordonnés à Kinshasa. + Temps de rétablissement moyen constaté : conforme à la cible de moins de 6 heures en zone urbaine. + Description + La disponibilité du backbone fibre reste conforme à l'obje",[288],[62],[62],"[""Rapport"", ""disponibilité"", ""liaisons"", ""transmission"", ""Objectif"", ""Présenter"", ""bilan"", ""fibre""]",False,factual,candidate_review
eval-025,"Selon «DOC33_Transmission_Registre_Circuits_MPLS», que précise le corpus sur le point suivant : Registre des circuits de transmission IP/MPLS + Objectif + Recenser les circuits de transmission IP/MPLS reliant les pri ?","Registre des circuits de transmission IP/MPLS + Objectif + Recenser les circuits de transmission IP/MPLS reliant les principaux sites de Bomoko Telecom, avec leur code d'identification, leur capacité, leur support physique et leur statut. + Champ d'application + Ce registre couvre les circuits IP/MPLS du backbone national utilisés pour le transport du trafic entre sites radio, c┼ôur de réseau et points de présence, ainsi que pour les services entreprise IP VPN. + Données techniques ÔÇö Circuits backbone + Procédures + Toute saturation d'un circuit (alarme ALM-TRANS-MPLS-011 du catalogue NOC) déclenche une analyse de capacité par la Direction Transmission et Fibre Optique, avec priorisation d'une migration vers la fibre optique lorsque le circuit repose encore sur un faisceau hertzien. + Responsabilités + La Di",[291],[63],[63],"[""Registre"", ""circuits"", ""transmission"", ""Objectif"", ""Recenser"", ""reliant"", ""principaux"", ""sites""]",False,factual,candidate_review
eval-026,"Selon «Strategie_Commerciale_Annuelle_TelcoAI», que précise le corpus sur le point suivant : Description / Contenu principal + La stratégie commerciale N repose sur quatre axes prioritaires : + Accélérer l'acquisi ?","Description / Contenu principal + La stratégie commerciale N repose sur quatre axes prioritaires : + Accélérer l'acquisition d'abonnés mobiles dans les zones nouvellement couvertes par le PROJECT CONNECT RDC, avec un objectif de dépasser 8 millions d'abonnés mobiles à moyen terme. + Développer l'adoption de la 5G à Kinshasa en s'appuyant sur le déploiement du PROJECT KINSHASA 5G, via des offres TelcoAI 5G PREMIUM ciblées sur les utilisateurs intensifs (professionnels mobiles, gamers, streaming). + Accro├«tre le parc de clients Internet fixe/fibre (TelcoAI HOME FIBER) dans les zones prioritaires du PROJECT FIBER EXPANSION : Kinshasa, Lubumbashi et Goma. + Renforcer le segment entreprises (TelcoAI BUSINESS CONNECT) en ciblant les secteurs bancaire, minier, humanitaire/ONG et in",[24],[6],[6],"[""Description"", ""Contenu"", ""principal"", ""stratégie"", ""commerciale"", ""repose"", ""quatre"", ""prioritaires""]",False,factual,candidate_review
eval-027,"Selon «DOC21_Cybersecurite_Protection_Donnees_Abonnes_V2», que précise le corpus sur le point suivant : cords avec des opérateurs tiers. + Risques + Risque d'accès non autorisé en cas de non-révision périodique des habilitat ?","cords avec des opérateurs tiers. + Risques + Risque d'accès non autorisé en cas de non-révision périodique des habilitations, désormais réduit par la fréquence mensuelle de revue. + Risque de non-conformité réglementaire en cas de conservation excessive des données de trafic, encadré par la durée explicite de 12 mois. + Nouveauté v2.0 : risque spécifique lié au transfert de données dans le cadre des accords d'itinérance nationale, si la clause contractuelle de protection des données n'est pas systématiquement revue avant signature. + Conclusion + Cette version 2.0 renforce la politique de protection des données des abonnés de Bomoko Telecom sur trois axes principaux : un chiffrement standardisé, des délais et durées désormais explicites, et une extension du périmètre aux transferts de données vers des",[51],[11],[11],"[""cords"", ""opérateurs"", ""tiers"", ""Risques"", ""Risque"", ""accès"", ""autorisé"", ""révision""]",False,factual,candidate_review
eval-028,"Selon «Rapport_Incident_Securite_DDoS_TelcoAI», que précise le corpus sur le point suivant : Indicateurs ou données pertinentes + Durée totale de l'incident : environ 90 minutes, du premier signal anormal au retou ?","Indicateurs ou données pertinentes + Durée totale de l'incident : environ 90 minutes, du premier signal anormal au retour à la normale confirmé. + Délai de détection : 5 minutes entre le début de l'anomalie et sa détection par le NOC. + Délai de confirmation de l'incident : 5 minutes supplémentaires par l'équipe Cybersécurité. + Délai de mise en ┼ôuvre des mesures d'atténuation : 13 minutes après confirmation de l'incident. + Aucun impact signalé sur les systèmes de facturation ou les données des abonnés. + 8.",[71],[14],[14],"[""Indicateurs"", ""données"", ""pertinentes"", ""Durée"", ""totale"", ""incident"", ""environ"", ""minutes""]",False,factual,candidate_review
